name,launch date,source,intended usage,tdp (W),cores,threads
amd ryzen 7 pro 5750g,2021-06-01,https://en.wikichip.org/wiki/amd/ryzen_7/pro_5750g,Desktop,65.0,8,16.0
amd ryzen 7 pro 5750ge,2021-06-01,https://en.wikichip.org/wiki/amd/ryzen_7/pro_5750ge,Desktop,35.0,8,16.0
amd ryzen 7 pro 5850u,2021-03-16,https://en.wikichip.org/wiki/amd/ryzen_7/pro_5850u,Mobile,15.0,8,16.0
amd ryzen 9 3900,2019-09-24,https://en.wikichip.org/wiki/amd/ryzen_9/3900,Desktop,65.0,12,24.0
amd ryzen 9 3900x,2019-07-07,https://en.wikichip.org/wiki/amd/ryzen_9/3900x,Desktop,105.0,12,24.0
amd ryzen 9 3900xt,2020-07-07,https://en.wikichip.org/wiki/amd/ryzen_9/3900xt,Desktop,105.0,12,24.0
amd ryzen 9 3950x,2019-11-25,https://en.wikichip.org/wiki/amd/ryzen_9/3950x,Desktop,105.0,16,32.0
amd ryzen 9 4900h,2020-03-16,https://en.wikichip.org/wiki/amd/ryzen_9/4900h,Mobile,45.0,8,16.0
amd ryzen 9 4900hs,2020-03-16,https://en.wikichip.org/wiki/amd/ryzen_9/4900hs,Mobile,35.0,8,16.0
amd ryzen 9 5900,2021-01-12,https://en.wikichip.org/wiki/amd/ryzen_9/5900,Desktop,65.0,12,24.0
amd ryzen 9 5900hs,2021-01-12,https://en.wikichip.org/wiki/amd/ryzen_9/5900hs,Mobile,35.0,8,16.0
amd ryzen 9 5900hx,2021-01-12,https://en.wikichip.org/wiki/amd/ryzen_9/5900hx,Mobile,45.0,8,16.0
amd ryzen 9 5900x,2020-11-05,https://en.wikichip.org/wiki/amd/ryzen_9/5900x,Desktop,105.0,12,24.0
amd ryzen 9 5950x,2020-11-05,https://en.wikichip.org/wiki/amd/ryzen_9/5950x,Desktop,105.0,16,32.0
amd ryzen 9 5980hs,2021-01-12,https://en.wikichip.org/wiki/amd/ryzen_9/5980hs,Mobile,35.0,8,16.0
amd ryzen 9 5980hx,2021-01-12,https://en.wikichip.org/wiki/amd/ryzen_9/5980hx,Mobile,45.0,8,16.0
amd ryzen 9 7950x3d,2023-02-28,https://en.wikichip.org/wiki/amd/ryzen_9/7950x3d,Desktop,120.0,16,32.0
